"year","upv_high","upv_low","upv_medium"
2021,1,1,1
2022,1,1,1
2023,1,1,1
2024,1,0.99,0.995
2025,0.99,0.98,0.985
2026,0.99,0.96,0.975
2027,0.99,0.94,0.965
2028,0.99,0.92,0.955
2029,0.99,0.9,0.945
2030,0.99,0.87,0.93
2031,0.99,0.85,0.92
2032,0.98,0.83,0.905
2033,0.98,0.82,0.9
2034,0.98,0.8,0.89
2035,0.98,0.79,0.885
2036,0.98,0.78,0.88
2037,0.98,0.76,0.87
2038,0.98,0.76,0.87
2039,0.98,0.75,0.865
2040,0.97,0.74,0.855
2041,0.97,0.74,0.855
2042,0.97,0.73,0.85
2043,0.97,0.73,0.85
2044,0.97,0.73,0.85
2045,0.97,0.73,0.85
2046,0.97,0.73,0.85
2047,0.96,0.73,0.845
2048,0.96,0.73,0.845
2049,0.96,0.73,0.845
2050,0.96,0.73,0.845
